context,question,answer,start_point,end_point
brand: L'Oreal Paris $ categories: Skin Care $ name: L'oreal Paris Revitalift Triple Power Deep-Acting Moisturizer $ reviews_text: Love this moisturizer for mature skin!,What do people think of L'oreal Paris?,Love this moisturizer,132,152
brand: Clorox $ categories: All Purpose Cleaner $ name: Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total $ reviews_text: I stock up on these because they are my favorite go-to for quick clean-ups and I love the fresh smell.,What are postitives of Clorox Disinfexting Wipes?,my favorite go-to for quick clean-ups and I love the fresh smell.,168,232
brand: Lionsgate $ categories: Action & Adventure Movies $ name: Pulp Fiction (dvdvideo) $ reviews_text: Just a really great flick. A must for any Blu Ray collector.,How good is Pulp Fiction?,a really great flick. A must,276,303
"brand: Lysol $ categories: All Purpose Cleaner $ name: Lysol Concentrate Deodorizing Cleaner, Original Scent $ reviews_text: I use this product for general cleaning, and it makes my house smell fresh and clean. I add it to my laundry especially when I was rugs.",What do people think of Lysol Concentrate Deodorizing Cleaner?,it makes my house smell fresh and clean.,171,210
"brand: L'oreal Paris $ categories: Conditioner $ name: L'oreal Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz $ reviews_text: I received the L'Oral Extrodinary Clay product line about a month ago and am In love! Not only are they a great value price wise but it's been a total game changer in my morning routine. The product line definitely delivers on its promise of keeping your roots from getting greasy and your ends from being dry for 48 hours and I've found it to go above and beyond that! I never washed my hair daily but usually every other day and sometimes every 3 days depending on what I was doing and how I wore my hair but with this line from L'Oral I can now easily go 3 days between washs with no need for dry shampoo and sometimes even 4 days! Think about that for a minute... 4 days between having to wash your hair! It's a huge time saver and has made my morning routine so much less rushed by making it so I'm only washing my hair 1-2 times per week! Plus you can't beat the price! An all around great product line that I would highly recommend, I even let my Mom test it out and she's hooked now too. I received these products complimentary in exchange for my honest and unbiased review. This review is part of a contest but has no influence on my opinion of the products whatsoever. This review was collected as part of a promotion.",What is the review for L'oreal Paris Elvive Extraordinary Clay Rebalancing Conditioner?,you can't beat the price! An all around great product line that I would highly recommend,999,186
"brand: Nutri-Grain $ categories: Packaged Food $ name: Nutrigrain Cereal Bars, Mixed Berry, 8 Ct. $ reviews_text: These are great for a quick breakfast but I wish the price was lower. Sometimes they are only 2.50.",What is the review for Nutrigrain Cereal Bars ?,I wish the price was lower.,370,396
brand: FOX $ categories: Romantic Movies $ name: Mike Dave Need Wedding Dates (dvd + Digital) $ reviews_text: All the movies that I bought are very funny and I would definitely suggest anyone that likes to laugh to get.,How is the movie Mike Dave Need Wedding Dates?,very funny and I would definitely suggest anyone that likes to laugh to get.,144,219
brand: Clorox $ categories: All Purpose Cleaner $ name: Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total $ reviews_text: best brand on the market for disinfectants. I love to use this product.,What do people think of Clorox Wipes?,best brand on the market for disinfectants. I love to use this product.,131,201
"brand: Clorox $ categories: All Purpose Cleaner $ name: Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total $ reviews_text: I love Clorox wipes. They are great for cleaning bathroom counters, sinks, and the toilet seat. This review was collected as part of a promotion.",What is the review of Clorox Disinfecting Wipes?,"I love Clorox wipes. They are great for cleaning bathroom counters, sinks, and the toilet seat",131,224
"brand: Storkcraft $ categories: Nursery Furniture $ name: Storkcraft Tuscany Glider and Ottoman, Beige Cushions, Espresso Finish $ reviews_text: Super easy to put together. Only problem is that it is so comfy that I put myself to sleep while I am putting my son down. When I wake up my neck is stiff but I can't blame the glider for that.","What is review of torkcraft Tuscany Glider and Ottoman, Beige Cushions?",it is so comfy ,195,208
brand: Clorox $ categories: All Purpose Cleaner $ name: Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total $ reviews_text: This product does great on cleaning and disinfecting but the smell is the best part yet! This review was collected as part of a promotion.,What do people love about Clorox Disinfecting Wipes?,smell is the best part yet,192,217
brand: Warner Home Video $ categories: Action & Adventure Movies $ name: Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd $ reviews_text: Excellent movie to watch blu-ray. The blu-ray definitely makes a difference in things that you get (extras for movies) and the quality as well.,How is Godzilla 3d?,Excellent movie to watch blu-ray,154,185
"brand: Warner Home Video $ categories: Action & Adventure Movies $ name: Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd $ reviews_text: I grew up watching godzilla movies, so this was something I wanted to see. It had plenty of action, but was lacking in some areas where there should have been more. The story was a little overdone and predictable, but it was not an awful movie but I have seen better.",What is the review for Godzilla 3d?,was lacking in some areas where there should have been more. The story was a little overdone and predictable,258,365
brand: Kiss $ categories: Artificial Nails $ name: Kiss174 Everlasting French Nails-String Of Pearls $ reviews_text: No chips! Finally!! I love this product. I will definitely repurchase it!,What do people say about Kiss174 Everlasting French Nails?,I love this product. I will definitely repurchase it!,138,190
brand: Cinnamon Toast Crunch $ categories: General Mills $ name: Cinnamon Toast Crunch $ reviews_text: Very addictive cereal.,What is the review for Cinnamon Toast Crunch?,Very addictive,104,117
brand: Clorox $ categories: All Purpose Cleaner $ name: Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total $ reviews_text: I use these for cleaning everything. Fast and convenient! This review was collected as part of a promotion.,What is positive of Clorox Disinfecting Wipes?,Fast and convenient!,168,187
brand: Clorox $ categories: All Purpose Cleaner $ name: Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total $ reviews_text: love this product super cconvenient and disinfects! This review was collected as part of a promotion.,What is review of Clorox Disinfecting Wipes?,love this product super cconvenient and disinfects!,131,181
"brand: Tide $ categories: Household Essentials $ name: Tide Pods Detergent, Botanical Rain, 61ct $ reviews_text: No more lugging those heavy bottles. This is a super convenient way to do laundry. I like the scent too...it removes another step in the laundry process, makes life easier.",What do people have to say about Tide Pods Detergent?,super convenient way to do laundry. I like the scent too,161,216
brand: Disney $ categories: Children & Family Movies $ name: Planes: Fire Rescue (2 Discs) (includes Digital Copy) (blu-Ray/dvd) $ reviews_text: Firefighting family here we love this movie and got this day before Christmas to put in our sons stocking. Wel love it and the price,What is the review for Planes: Fire Rescue?,Wel love it and the price,253,277
brand: FOX $ categories: Romantic Movies $ name: Mike Dave Need Wedding Dates (dvd + Digital) $ reviews_text: Hilarious film! I enjoyed all the actors and the humor was well written. The spa scene has to be my favorite part.,What is the review of Mike Dave Need Wedding Dates?,Hilarious film! I enjoyed all the actors and the humor was well written,111,181
"brand: Clorox $ categories: Bathroom Cleaner $ name: Clorox Disinfecting Bathroom Cleaner $ reviews_text: I guess I should of paid more attention. I seen that it was Clorox bathroom cleaner and figured it was a bleach product. It is not and I did not figure that out until I had spraying it in the bathtub, so now I can not return it.",What is the opinion on Clorox Disinfecting Bathroom Cleaner?," I seen that it was Clorox bathroom cleaner and figured it was a bleach product. It is not and I did not figure that out until I had spraying it in the bathtub, so now I can not return it.",148,334
"brand: Clorox $ categories: All Purpose Cleaner $ name: Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total $ reviews_text: I love using Clorox wipes for quick, easy clean up in my kitchen and bathrooms. These are also a great way to get my kids helping with cleaning. This review was collected as part of a promotion.",What do people like about Clorox Disinfecting Wipes ?,"I love using Clorox wipes for quick, easy clean up in my kitchen and bathrooms.",131,209
brand: Warner Music Group $ categories: Pop Music $ name: Jason Aldean - They Don't Know $ reviews_text: Great artist. Easy listening. Glad I bought the album.,What do people say about Jason Aldean - They Don't Know?,Easy listening. Glad I bought the album.,120,159
